键值(key),翻译(msgstr)
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_1_HEADER,战斗特点
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_1_TEXT_1,您须与其他玩家一起作战，获得排名并晋升联盟。联盟越高，奖励越珍贵，对手也就越强。
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_2_HEADER,当前赛季条件
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_2_TEXT_1,青铜联盟
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_2_TEXT_2,白银联盟
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_2_TEXT_3,黄金联盟
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_3_HEADER,联盟和排名
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_3_TEXT_1,要进入下个联盟，您需要在当前联盟中达到排名1并通过晋级圈。
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_3_TEXT_2,要提高排名，您需要获取星星。每赢一场，您将获得一颗星；每输一场或平局，您将失去一颗星。如果您是己方团队经验获取量排名第一的玩家，您可以保留星星。
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_4_HEADER,赛季和冲刺回合
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_4_TEXT_1,参与条件和团队阵容取决于具体的排位战赛季。
IDS_MODAL_WINDOW_RANKEDBATTLE_RULES_PARAGRAPH_4_TEXT_2,赛季分为多个冲刺回合。每一个冲刺回合都会重置联盟进度。
IDS_MODAL_WINDOW_SEASON_RESTRICTIONS_TITLE,特定战舰限制
IDS_MODAL_WINDOW_SHIPS_BRANCHES_FEATURES_TAB_BAR_MAIN,主要
IDS_MODAL_WINDOW_SHIPS_BRANCHES_FEATURES_TAB_BAR_OTHER,详情
IDS_MODAL_WINDOW_SHIPS_BRANCHES_FEATURES_TITLE,战舰特性
IDS_MODAL_WINDOW_SHIP_BRANCH_FEATURES_TITLE,战舰特性
IDS_MODAL_WINDOW_SHIP_PURCHASE_SHIP_PRICE,战舰价格：
IDS_MODAL_WINDOW_SNOWFLAKES_NO_SHIPS_BLOCK_DESCRIPTION,您已经从港口中的所有战舰上领取了节庆奖励。获取V级及以上战舰可领取更多节庆奖励。
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_HEADER,节庆奖励
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_1_HEADER,在战斗中获得节庆奖励
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_1_TEXT_1,自14.11版本起，节庆奖励将新增至您所有V级及以上的战舰。要领取战舰的奖励，您需要将其驶入战斗并获取基础经验。所需基础经验额与可获奖励数量，取决于战舰等级。
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_1_TEXT_2,节庆奖励仅开放至14.11版本结束为止。
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_HEADER,无需加入战斗即可领取节庆奖励
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_1,"您在战斗中获取的所有基础经验都会添加到进度条中。每累积1,000点基础经验并填充进度条，您就能够选择一定数量的战舰来领取节庆奖励，而无需驾驶这些战舰进入战斗。可获取的奖励数量取决于您港口中的战舰数量。"
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_2,港口中有24艘或以下的战舰：奖励+1
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_3,港口中有25–49艘战舰：奖励+2
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_4,港口中有50–99艘战舰：奖励+3
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_5,港口中有100–199艘战舰：奖励+4
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_6,港口中有200–399艘战舰：奖励+5
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_7,港口中有400–599艘战舰：奖励+6
IDS_MODAL_WINDOW_SNOWFLAKES_RULES_PARAGRAPH_2_TEXT_8,港口中有600艘或以上的战舰：奖励+7
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_HEADER,潜艇控制
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_1_HEADER,下潜能力
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_1_TEXT_1,必须在水下
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_1_TEXT_2,潜艇在水面上时恢复
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_2_HEADER,深度
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_2_TEXT_1,[CRUISE_DEEP_UP]上浮
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_2_TEXT_2,[CRUISE_DEEP_DOWN]下潜
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_3_HEADER,声呐导向鱼雷
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_3_TEXT_1,将被导向已被声呐脉冲高亮的战舰区域。
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_3_TEXT_2,在被导向某个已被声呐高亮两次的区域时，机动性会提高。
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_4_HEADER,鱼雷[UNUSED]
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_4_TEXT_1,对付水面目标最有效。[UNUSED]
IDS_MODAL_WINDOW_SUBMARINE_TUTORIAL_PARAGRAPH_4_TEXT_2,对付水面目标最有效。[UNUSED]
IDS_MODAL_WINDOW_TITLE_CAMOUFLAGE_PURCHASE,购买消耗型涂装
IDS_MODAL_WINDOW_TITLE_ECOBOOST_PURCHASE,购买经济加成
IDS_MODAL_WINDOW_TITLE_ECONOMIC_BOOSTS,经济加成
IDS_MODAL_WINDOW_TITLE_MODERN_ERA,时空裂隙
IDS_MODAL_WINDOW_TITLE_MULTIBOOST_LINK,绑定加成包
IDS_MODAL_WINDOW_TITLE_MULTIBOOST_PURCHASE,购买加成包
IDS_MODAL_WINDOW_TITLE_PERMOFLAGE_LINK,绑定涂装
IDS_MODAL_WINDOW_TITLE_PERMOFLAGE_PURCHASE,购买永久涂装
IDS_MODAL_WINDOW_TITLE_PREFERENCES,设置
IDS_MODAL_WINDOW_TITLE_PREFERENCES_COLOR_BLINDNESS,色盲滤镜
IDS_MODAL_WINDOW_TITLE_PREFERENCES_CROSSHAIRS,准星选择
IDS_MODAL_WINDOW_TITLE_PREFERENCES_GAMMA,伽玛值
IDS_MODAL_WINDOW_TITLE_PREMIUM_ACCOUNT_PURCHASE,购买高级账号
IDS_MODAL_WINDOW_TITLE_SHIP_DESTRUCTION_LINK,绑定效果
IDS_MODAL_WINDOW_TITLE_SIGNAL_PURCHASE,购买信号旗
IDS_MODAL_WINDOW_TITLE_VISUAL_CUSTOMIZATION_LINK,绑定贴花
IDS_MODAL_WINDOW_UNINSTALL_ALL_DECALS_HEADER,要从此战舰上拆卸全部贴花吗？
IDS_MODERNIZATION,升级品
IDS_MODERNIZATIONS,升级
IDS_MODERNIZATIONS_COST,升级品费用
IDS_MODERNIZATIONS_IS_NOT_AVAILABLE_NOW,当您达到更高的服役记录等级后才能使用升级品。
IDS_MODERNIZATION_0,升级品
IDS_MODERNIZATION_1,特殊升级品
IDS_MODERNIZATION_2,稀有升级品
IDS_MODERNIZATION_3,独特升级品
IDS_MODERNIZATION_BUY_IN_ARMORY_STATUS,此升级品可在兵工厂购买
IDS_MODERNIZATION_COST,升级花费：
IDS_MODERNIZATION_INFOTIP_DESCRIPTION_0,提升战舰火力的升级品。
IDS_MODERNIZATION_INFOTIP_DESCRIPTION_1,提升战舰防御的升级品。
IDS_MODERNIZATION_INFOTIP_DESCRIPTION_2,提升战舰主要特点的升级品。
IDS_MODERNIZATION_INFOTIP_TITLE_0,武器
IDS_MODERNIZATION_INFOTIP_TITLE_1,防御
IDS_MODERNIZATION_INFOTIP_TITLE_2,特化系统
IDS_MODERNIZATION_IS_INSTALLED,已安装升级品
IDS_MODERNIZATION_LOW_ACCESS_LEVEL_TO_USE,升级品需要更高的权限等级解锁。
IDS_MODERNIZATION_PURCHASE_EVENT,一次性为所有活动战舰购买
IDS_MODERNIZATION_QUANTITY,升级品数
IDS_MODERNIZATION_STATE_AVAILABLE,可安装升级品
IDS_MODERNIZATION_TYPE_LEGENDARY,有可用的独特升级品
IDS_MODERNIZATION_TYPE_RARE,稀有升级品可用
IDS_MODERNIZATION_TYPE_SPECIAL,特殊升级品可用
IDS_MODERN_ERA_BANNER_DESCRIPTION,有新物品
IDS_MODERN_ERA_BANNER_TITLE,时空裂隙
IDS_MODERN_ERA_BANNER_TOOLTIP_DESCRIPTION,参与行动并完成次要目标以赚取星星。
IDS_MODERN_ERA_BANNER_TOOLTIP_HEADER,时空裂隙
IDS_MODERN_ERA_BANNER_TOOLTIP_PROGRESS_POINTS,在行动中获取星星
IDS_MODERN_ERA_BB_BOT_L1_1_N,Alpha-Hammer 1
IDS_MODERN_ERA_BB_BOT_L1_1_N2,Alpha Hammer-1M
IDS_MODERN_ERA_BB_BOT_L1_2_N,Alpha-Hammer 2
IDS_MODERN_ERA_BB_BOT_L1_2_N2,Alpha Hammer-2M
IDS_MODERN_ERA_BB_BOT_L1_3_N,Alpha-Hammer 3
IDS_MODERN_ERA_BB_BOT_L1_3_N2,Alpha Hammer-3M
IDS_MODERN_ERA_BB_BOT_L1_4_N,Alpha-Hammer 4
IDS_MODERN_ERA_BB_BOT_L1_4_N2,Alpha Hammer-4M
IDS_MODERN_ERA_BB_BOT_L1_5_N,Alpha-Hammer 5
IDS_MODERN_ERA_BB_BOT_L1_5_N2,Alpha Hammer-5M
IDS_MODERN_ERA_BB_BOT_L1_6_N,Alpha-Hammer 6
IDS_MODERN_ERA_BB_BOT_L1_6_N2,Alpha Hammer-6M
IDS_MODERN_ERA_BB_BOT_L2_1_N,Bravo-Hammer 1
IDS_MODERN_ERA_BB_BOT_L2_1_N2,Bravo Hammer-1M
IDS_MODERN_ERA_BB_BOT_L2_2_N,Bravo-Hammer 2
IDS_MODERN_ERA_BB_BOT_L2_2_N2,Bravo Hammer-2M
IDS_MODERN_ERA_BB_BOT_L2_3_N,Bravo-Hammer 3
IDS_MODERN_ERA_BB_BOT_L2_3_N2,Bravo Hammer-3M
IDS_MODERN_ERA_BB_BOT_L2_4_N,Bravo-Hammer 4
IDS_MODERN_ERA_BB_BOT_L2_4_N2,Bravo Hammer-4M
IDS_MODERN_ERA_BB_BOT_L2_5_N,Bravo-Hammer 5
IDS_MODERN_ERA_BB_BOT_L2_5_N2,Bravo Hammer-5M
IDS_MODERN_ERA_BB_BOT_L2_6_N,Bravo-Hammer 6
IDS_MODERN_ERA_BB_BOT_L2_6_N2,Bravo Hammer-6M
IDS_MODERN_ERA_BB_BOT_L2_7_N,Bravo-Hammer 7
IDS_MODERN_ERA_BB_BOT_L2_7_N2,Bravo Hammer-7M
IDS_MODERN_ERA_BB_BOT_L2_8_N,Bravo-Hammer 8
IDS_MODERN_ERA_BB_BOT_L2_8_N2,Bravo Hammer-8M
IDS_MODERN_ERA_BB_BOT_L2_9_N,Bravo-Hammer 9
IDS_MODERN_ERA_BB_BOT_L2_9_N2,Bravo Hammer-9M
IDS_MODERN_ERA_BB_BOT_L3_1_N,Charlie-Hammer 1
IDS_MODERN_ERA_BB_BOT_L3_1_N2,Charlie Hammer-1M
IDS_MODERN_ERA_BB_BOT_L3_2_N,Charlie-Hammer 2
IDS_MODERN_ERA_BB_BOT_L3_2_N2,Charlie Hammer-2M
IDS_MODERN_ERA_BB_BOT_L3_3_N,Charlie-Hammer 3
IDS_MODERN_ERA_BB_BOT_L3_3_N2,Charlie Hammer-3M
IDS_MODERN_ERA_BB_BOT_L3_4_N,Charlie-Hammer 4
IDS_MODERN_ERA_BB_BOT_L3_4_N2,Charlie Hammer-4M
IDS_MODERN_ERA_BB_BOT_L3_5_N,Charlie-Hammer 5
IDS_MODERN_ERA_BB_BOT_L3_5_N2,Charlie Hammer-5M
IDS_MODERN_ERA_BB_BOT_L3_6_N,Charlie-Hammer 6
IDS_MODERN_ERA_BB_BOT_L3_6_N2,Charlie Hammer-6M
IDS_MODERN_ERA_BB_BOT_L3_7_N,Charlie-Hammer 7
IDS_MODERN_ERA_BB_BOT_L3_7_N2,Charlie Hammer-7M
IDS_MODERN_ERA_BB_BOT_L3_8_N,Charlie-Hammer 8
IDS_MODERN_ERA_BB_BOT_L3_8_N2,Charlie Hammer-8M
IDS_MODERN_ERA_BB_BOT_L3_9_N,Charlie-Hammer 9
IDS_MODERN_ERA_BB_BOT_L3_9_N2,Charlie Hammer-9M
IDS_MODERN_ERA_BOT_BASE_CARRIERS_1,Charlie-Storm 1
IDS_MODERN_ERA_BOT_BASE_CARRIERS_2,Charlie-Storm 2
IDS_MODERN_ERA_BOT_BASE_CARRIERS_3,Charlie-Storm 3
IDS_MODERN_ERA_BOT_BASE_CARRIERS_4,Charlie-Storm 4
IDS_MODERN_ERA_BOT_BASE_REPAIRS_1,Charlie-Atlas 1
IDS_MODERN_ERA_BOT_BASE_REPAIRS_2,Charlie-Atlas 2
IDS_MODERN_ERA_BOT_BASE_REPAIRS_3,Charlie-Atlas 3
IDS_MODERN_ERA_BOT_BASE_REPAIRS_4,Charlie-Atlas 4
IDS_MODERN_ERA_BOT_CARRIERS_1,Alpha-Storm
IDS_MODERN_ERA_BOT_CARRIERS_2,Bravo-Storm
IDS_MODERN_ERA_BOT_REPAIRS_1,Alpha-Atlas
IDS_MODERN_ERA_BOT_REPAIRS_2,Bravo-Atlas
IDS_MODERN_ERA_CA_BOT_L1_1_N,Alpha-Hound 1
IDS_MODERN_ERA_CA_BOT_L1_1_N2,Alpha Hound-1M
IDS_MODERN_ERA_CA_BOT_L1_2_N,Alpha-Hound 2
IDS_MODERN_ERA_CA_BOT_L1_2_N2,Alpha Hound-2M
IDS_MODERN_ERA_CA_BOT_L1_3_N,Alpha-Hound 3
IDS_MODERN_ERA_CA_BOT_L1_3_N2,Alpha Hound-3M
IDS_MODERN_ERA_CA_BOT_L1_4_N,Alpha-Hound 4
IDS_MODERN_ERA_CA_BOT_L1_4_N2,Alpha Hound-4M
IDS_MODERN_ERA_CA_BOT_L1_5_N,Alpha-Hound 5
IDS_MODERN_ERA_CA_BOT_L1_5_N2,Alpha Hound-5M
IDS_MODERN_ERA_CA_BOT_L1_6_N,Alpha-Hound 6
IDS_MODERN_ERA_CA_BOT_L1_6_N2,Alpha Hound-6M
IDS_MODERN_ERA_CA_BOT_L2_1_N,Bravo-Hound 1
IDS_MODERN_ERA_CA_BOT_L2_1_N2,Bravo Hound-1M
IDS_MODERN_ERA_CA_BOT_L2_2_N,Bravo-Hound 2
IDS_MODERN_ERA_CA_BOT_L2_2_N2,Bravo Hound-2M
IDS_MODERN_ERA_CA_BOT_L2_3_N,Bravo-Hound 3
IDS_MODERN_ERA_CA_BOT_L2_3_N2,Bravo Hound-3M
IDS_MODERN_ERA_CA_BOT_L2_4_N,Bravo-Hound 4
IDS_MODERN_ERA_CA_BOT_L2_4_N2,Bravo Hound-4M
IDS_MODERN_ERA_CA_BOT_L2_5_N,Bravo-Hound 5
IDS_MODERN_ERA_CA_BOT_L2_5_N2,Bravo Hound-5M
IDS_MODERN_ERA_CA_BOT_L2_6_N,Bravo-Hound 6
IDS_MODERN_ERA_CA_BOT_L2_6_N2,Bravo Hound-6M
IDS_MODERN_ERA_CA_BOT_L2_7_N,Bravo-Hound 7
IDS_MODERN_ERA_CA_BOT_L2_7_N2,Bravo Hound-7M
IDS_MODERN_ERA_CA_BOT_L2_8_N,Bravo-Hound 8
IDS_MODERN_ERA_CA_BOT_L2_8_N2,Bravo Hound-8M
IDS_MODERN_ERA_CA_BOT_L2_9_N,Bravo-Hound 9
IDS_MODERN_ERA_CA_BOT_L2_9_N2,Bravo Hound-9M
IDS_MODERN_ERA_CA_BOT_L3_1_N,Charlie-Hound 1
IDS_MODERN_ERA_CA_BOT_L3_1_N2,Charlie Hound-1M
IDS_MODERN_ERA_CA_BOT_L3_2_N,Charlie-Hound 2
IDS_MODERN_ERA_CA_BOT_L3_2_N2,Charlie Hound-2M
IDS_MODERN_ERA_CA_BOT_L3_3_N,Charlie-Hound 3
IDS_MODERN_ERA_CA_BOT_L3_3_N2,Charlie Hound-3M
IDS_MODERN_ERA_CA_BOT_L3_4_N,Charlie-Hound 4
IDS_MODERN_ERA_CA_BOT_L3_4_N2,Charlie Hound-4M
IDS_MODERN_ERA_CA_BOT_L3_5_N,Charlie-Hound 5
IDS_MODERN_ERA_CA_BOT_L3_5_N2,Charlie Hound-5M
IDS_MODERN_ERA_CA_BOT_L3_6_N,Charlie-Hound 6
IDS_MODERN_ERA_CA_BOT_L3_6_N2,Charlie Hound-6M
IDS_MODERN_ERA_CA_BOT_L3_7_N,Charlie-Hound 7
IDS_MODERN_ERA_CA_BOT_L3_7_N2,Charlie Hound-7M
IDS_MODERN_ERA_CA_BOT_L3_8_N,Charlie-Hound 8
IDS_MODERN_ERA_CA_BOT_L3_8_N2,Charlie Hound-8M
IDS_MODERN_ERA_CA_BOT_L3_9_N,Charlie-Hound 9
IDS_MODERN_ERA_CA_BOT_L3_9_N2,Charlie Hound-9M
IDS_MODERN_ERA_DD_BOT_L1_1_N,Alpha-Viper 1
IDS_MODERN_ERA_DD_BOT_L1_1_N2,Alpha Viper-1M
IDS_MODERN_ERA_DD_BOT_L1_2_N,Alpha-Viper 2
IDS_MODERN_ERA_DD_BOT_L1_2_N2,Alpha Viper-2M
IDS_MODERN_ERA_DD_BOT_L1_3_N,Alpha-Viper 3
IDS_MODERN_ERA_DD_BOT_L1_3_N2,Alpha Viper-3M
IDS_MODERN_ERA_DD_BOT_L1_4_N,Alpha-Viper 4
IDS_MODERN_ERA_DD_BOT_L1_4_N2,Alpha Viper-4M
IDS_MODERN_ERA_DD_BOT_L1_5_N,Alpha-Viper 5
IDS_MODERN_ERA_DD_BOT_L1_5_N2,Alpha Viper-5M
IDS_MODERN_ERA_DD_BOT_L1_6_N,Alpha-Viper 6
IDS_MODERN_ERA_DD_BOT_L1_6_N2,Alpha Viper-6M
IDS_MODERN_ERA_DD_BOT_L2_1_N,Bravo-Viper 1
IDS_MODERN_ERA_DD_BOT_L2_1_N2,Bravo Viper-1M
IDS_MODERN_ERA_DD_BOT_L2_2_N,Bravo-Viper 2
IDS_MODERN_ERA_DD_BOT_L2_2_N2,Bravo Viper-2M
IDS_MODERN_ERA_DD_BOT_L2_3_N,Bravo-Viper 3
IDS_MODERN_ERA_DD_BOT_L2_3_N2,Bravo Viper-3M
IDS_MODERN_ERA_DD_BOT_L2_4_N,Bravo-Viper 4
IDS_MODERN_ERA_DD_BOT_L2_4_N2,Bravo Viper-4M
IDS_MODERN_ERA_DD_BOT_L2_5_N,Bravo-Viper 5
IDS_MODERN_ERA_DD_BOT_L2_5_N2,Bravo Viper-5M
IDS_MODERN_ERA_DD_BOT_L2_6_N,Bravo-Viper 6
IDS_MODERN_ERA_DD_BOT_L2_6_N2,Bravo Viper-6M
IDS_MODERN_ERA_DD_BOT_L2_7_N,Bravo-Viper 7
IDS_MODERN_ERA_DD_BOT_L2_7_N2,Bravo Viper-7M
IDS_MODERN_ERA_DD_BOT_L2_8_N,Bravo-Viper 8
IDS_MODERN_ERA_DD_BOT_L2_8_N2,Bravo Viper-8M
IDS_MODERN_ERA_DD_BOT_L2_9_N,Bravo-Viper 9
IDS_MODERN_ERA_DD_BOT_L2_9_N2,Bravo Viper-9M
IDS_MODERN_ERA_DD_BOT_L3_1_N,Charlie-Viper 1
IDS_MODERN_ERA_DD_BOT_L3_1_N2,Charlie Viper-1M
IDS_MODERN_ERA_DD_BOT_L3_2_N,Charlie-Viper 2
IDS_MODERN_ERA_DD_BOT_L3_2_N2,Charlie Viper-2M
IDS_MODERN_ERA_DD_BOT_L3_3_N,Charlie-Viper 3
IDS_MODERN_ERA_DD_BOT_L3_3_N2,Charlie Viper-3M
IDS_MODERN_ERA_DD_BOT_L3_4_N,Charlie-Viper 4
IDS_MODERN_ERA_DD_BOT_L3_4_N2,Charlie Viper-4M
IDS_MODERN_ERA_DD_BOT_L3_5_N,Charlie-Viper 5
IDS_MODERN_ERA_DD_BOT_L3_5_N2,Charlie Viper-5M
IDS_MODERN_ERA_DD_BOT_L3_6_N,Charlie-Viper 6
IDS_MODERN_ERA_DD_BOT_L3_6_N2,Charlie Viper-6M
IDS_MODERN_ERA_DD_BOT_L3_7_N,Charlie-Viper 7
IDS_MODERN_ERA_DD_BOT_L3_7_N2,Charlie Viper-7M
IDS_MODERN_ERA_DD_BOT_L3_8_N,Charlie-Viper 8
IDS_MODERN_ERA_DD_BOT_L3_8_N2,Charlie Viper-8M
IDS_MODERN_ERA_DD_BOT_L3_9_N,Charlie-Viper 9
IDS_MODERN_ERA_DD_BOT_L3_9_N2,Charlie Viper-9M
IDS_MODERN_ERA_EVENT_STATUS_TIME,活动结束于：%(_timeLeft)s
IDS_MODERN_ERA_PHASE_1_TITLE,破碎时空
IDS_MODERN_ERA_PHASE_2_TITLE,裂隙警戒
IDS_MODERN_ERA_PHASE_3_TITLE,时空裂隙
IDS_MODERN_ERA_POST_PROGRESS_LEVEL,额外等级
IDS_MODERN_ERA_PROGRESSION_DESCRIPTION,完成次要目标并获取星星，以推进奖励进度条的等级。每个行动开始时，将开放新的等级。
IDS_MODERN_ERA_PURCHASE_SHIP_QUESTION_PURCHASE_SHIP_FOR,购买并花费
IDS_MODERN_ERA_PURCHASE_SHIP_TITLE,购买战舰
IDS_MODERN_ERA_PURCHASE_SHIP_UPGRADES_DESCRIPTION,一次性为所有活动战舰购买
IDS_MODERN_ERA_PURCHASE_SHIP_UPGRADES_MODERNIZATION_SUBTITLE,升级
IDS_MODERN_ERA_PURCHASE_SHIP_UPGRADES_QUESTION_PURCHASE_SHIP_FOR,要购买并花费
IDS_MODERN_ERA_PURCHASE_SHIP_UPGRADES_TITLE,确认
IDS_MODERN_ERA_SHIP_FEATURE_DESCRIPTION_FOR_PXSB053,战列舰，配备长程可补充导弹，单次打击便可造成严重伤害。
IDS_MODERN_ERA_SHIP_FEATURE_DESCRIPTION_FOR_PXSB054,战列舰，装备大量鱼雷与强大副炮。
IDS_MODERN_ERA_SHIP_FEATURE_DESCRIPTION_FOR_PXSC050,巡洋舰，以高准度主炮为特色、于中距离表现出色。
IDS_MODERN_ERA_SHIP_FEATURE_DESCRIPTION_FOR_PXSC051,巡洋舰，配备长程可补充导弹，导弹发射间隔短。
IDS_MODERN_ERA_SHIP_FEATURE_DESCRIPTION_FOR_PXSD041,驱逐舰，装备快速装填的鱼雷发射管与长程鱼雷。
IDS_MODERN_ERA_SHIP_FEATURE_DESCRIPTION_FOR_PXSD042,驱逐舰，以速射火炮为特色、于近距离表现出色，并配备可补充导弹。
IDS_MODERN_ERA_SHIP_OBTAINED,已获得
IDS_MODERN_ERA_SHIP_PREVIEW_BUY_BUTTON,购买
IDS_MODERN_ERA_SHIP_PREVIEW_BUY_PRICE,费用：
IDS_MODERN_ERA_SHIP_PREVIEW_DESCRIPTION,在奖励进度条中获取联盟代币以购买战舰。
IDS_MODERN_ERA_SHIP_PREVIEW_OPEN_EQUIPMENT_BUTTON,前往装备
IDS_MODERN_ERA_SHIP_PREVIEW_SHIP_OBTAINED,已获得战舰
IDS_MODERN_ERA_SHIP_PREVIEW_SHOW_PREVIEW_SHIP_BUTTON,预览战舰
IDS_MODERN_ERA_TAB_EVENT_SHOP,战舰
IDS_MODERN_ERA_TAB_PROGRESSION,奖励进度条
IDS_MODERN_ERA_UPGRADES_DESCRIPTION,在奖励进度条中获取SABER代币以购买升级品。每个升级品皆为一次性为所有活动战舰购买。
IDS_MODERN_ERA_UPGRADES_TITLE_UPGRADES_GUNNERS,武器
IDS_MODERN_ERA_UPGRADES_TITLE_UPGRADES_MANEUVERABILITY,特化系统
IDS_MODERN_ERA_UPGRADES_TITLE_UPGRADES_SURVIVABILITY,防御
IDS_MODE_CHANGE_CONSUMABLE_1,切换消耗品1模式
IDS_MODE_CHANGE_CONSUMABLE_1_PREF_TOOLTIP_DESCRIPTION,在消耗品1的自动与手动模式之间切换。
IDS_MODE_CHANGE_CONSUMABLE_2,切换消耗品2模式
IDS_MODE_CHANGE_CONSUMABLE_2_PREF_TOOLTIP_DESCRIPTION,在消耗品2的自动与手动模式之间切换。
IDS_MODE_CHANGE_CONSUMABLE_3,切换消耗品3模式
IDS_MODE_CHANGE_CONSUMABLE_3_PREF_TOOLTIP_DESCRIPTION,在消耗品3的自动与手动模式之间切换。
IDS_MODE_CHANGE_CONSUMABLE_4,切换消耗品4模式
IDS_MODE_CHANGE_CONSUMABLE_4_PREF_TOOLTIP_DESCRIPTION,在消耗品4的自动与手动模式之间切换。
IDS_MODE_CHANGE_CONSUMABLE_5,切换消耗品5模式
IDS_MODE_CHANGE_CONSUMABLE_5_PREF_TOOLTIP_DESCRIPTION,在消耗品5的自动与手动模式之间切换。
IDS_MODIFIERS,加成
IDS_MODIFIERS_CREDITS_HINT,应用加成后额外获得的银币
IDS_MODIFIERS_CREW_HINT,应用加成后获得的指挥官经验
IDS_MODIFIERS_EXP_HINT,应用加成后额外获得的战舰经验
IDS_MODULES,装备
IDS_MODULES_DAMAGED,瘫痪的配件
IDS_MODULES_DESTROYED,摧毁的配件
IDS_MODULES_STATE_TOOLTIP_REPAIR_TIME,[Repair time:]
IDS_MODULES_UNAVAILABLE,这艘战舰上的配件和升级无法自定义
IDS_MODULES_WAS_DESTROYED_HELP_SCREEN,摧毁的配件
IDS_MODULE_AIR_DEFENSE,防空炮
IDS_MODULE_ATBA_GUN,副炮
IDS_MODULE_DEPTH_CHARGE_GUN,深水炸弹
IDS_MODULE_ENGINE,引擎
IDS_MODULE_IS_BROKEN,重创
IDS_MODULE_IS_DESTROYED,配件被摧毁
IDS_MODULE_IS_OUT_OF_ORDER,配件瘫痪
IDS_MODULE_MAIN_GUN,主炮
IDS_MODULE_NAME_WITH_SHIP,%(moduleName)s — %(shipName)s
IDS_MODULE_PINGER,声呐
IDS_MODULE_STATE_AVAILABLE,可安装配件。
IDS_MODULE_STATE_CANNOT_BUY,配件可通过完成作战任务获取。
IDS_MODULE_STATE_INSTALLED,配件已安装
IDS_MODULE_STATE_RESEARCHED,已研发。想要安装该配件，请先购买它。
IDS_MODULE_STATE_RESEARCHED_SHIP_NOT_OWNED,已研发。想要购买该配件，请先购买该战舰。
IDS_MODULE_STATE_TOOLTIP,[Modules broken]
IDS_MODULE_STATE_TOOLTIP_AIR_DEFENSE_BROKEN_HINT,"防空炮严重受损，无法开火。
严重受损的配件会在长时间后自动修复，无法手动维修。"
IDS_MODULE_STATE_TOOLTIP_ATBA_GUN_BROKEN_HINT,"副炮严重受损，无法开火。
严重受损的配件会在长时间后自动修复，无法手动维修。"
IDS_MODULE_STATE_TOOLTIP_BROKEN_COUNT,严重受损：
IDS_MODULE_STATE_TOOLTIP_CRIT_COUNT,受损：
IDS_MODULE_STATE_TOOLTIP_ENGINE_CRIT_HINT,"引擎受损，无法移动。若学习了”背水一战“指挥官技能，仍可维持有限航速。
受损的配件会随时间自动修复，或可通过使用伤害控制小组消耗品立即修复。"
